 ---------------------------- ---------- -------- ------ ----------------------------------- 
  Name                         Method     Scheme   Host   Path                               
 ---------------------------- ---------- -------- ------ ----------------------------------- 
  _preview_error               ANY        ANY      ANY    /_error/{code}.{_format}           
  _wdt                         ANY        ANY      ANY    /_wdt/{token}                      
  _profiler_home               ANY        ANY      ANY    /_profiler/                        
  _profiler_search             ANY        ANY      ANY    /_profiler/search                  
  _profiler_search_bar         ANY        ANY      ANY    /_profiler/search_bar              
  _profiler_phpinfo            ANY        ANY      ANY    /_profiler/phpinfo                 
  _profiler_xdebug             ANY        ANY      ANY    /_profiler/xdebug                  
  _profiler_font               ANY        ANY      ANY    /_profiler/font/{fontName}.woff2   
  _profiler_search_results     ANY        ANY      ANY    /_profiler/{token}/search/results  
  _profiler_open_file          ANY        ANY      ANY    /_profiler/open                    
  _profiler                    ANY        ANY      ANY    /_profiler/{token}                 
  _profiler_router             ANY        ANY      ANY    /_profiler/{token}/router          
  _profiler_exception          ANY        ANY      ANY    /_profiler/{token}/exception       
  _profiler_exception_css      ANY        ANY      ANY    /_profiler/{token}/exception.css   
  admin_dashboard              ANY        ANY      ANY    /admin/                            
  admin_users                  ANY        ANY      ANY    /admin/users                       
  admin_tournaments            GET|POST   ANY      ANY    /admin/tournaments                 
  admin_settings               ANY        ANY      ANY    /admin/settings                    
  admin_reports                ANY        ANY      ANY    /admin/reports                     
  admin_shop                   ANY        ANY      ANY    /admin/shop                        
  admin_shop_skin_add          GET|POST   ANY      ANY    /admin/shop/skin/add               
  admin_shop_skin_edit         GET|POST   ANY      ANY    /admin/shop/skin/{id}/edit         
  admin_shop_skin_delete       POST       ANY      ANY    /admin/shop/skin/{id}/delete       
  admin_shop_merch_add         GET|POST   ANY      ANY    /admin/shop/merch/add              
  admin_shop_merch_edit        GET|POST   ANY      ANY    /admin/shop/merch/{id}/edit        
  admin_shop_merch_delete      POST       ANY      ANY    /admin/shop/merch/{id}/delete      
  admin_games                  GET|POST   ANY      ANY    /admin/games                       
  admin_games_delete           POST       ANY      ANY    /admin/games/{id}/delete           
  admin_games_edit             GET|POST   ANY      ANY    /admin/games/{id}/edit             
  app_dashboard                ANY        ANY      ANY    /                                  
  app_profile                  ANY        ANY      ANY    /profil                            
  app_login                    ANY        ANY      ANY    /connexion                         
  app_register                 ANY        ANY      ANY    /inscription                       
  app_logout                   ANY        ANY      ANY    /deconnexion                       
  app_settings                 GET|POST   ANY      ANY    /parametres                        
  app_shop                     ANY        ANY      ANY    /boutique                          
  app_shop_item                ANY        ANY      ANY    /boutique/{id}                     
  app_team                     ANY        ANY      ANY    /equipe                            
  app_team_create              GET|POST   ANY      ANY    /equipe/creer                      
  app_team_edit                GET|POST   ANY      ANY    /equipe/modifier                   
  app_team_join                GET|POST   ANY      ANY    /equipe/rejoindre                  
  app_team_leave               POST       ANY      ANY    /equipe/quitter                    
  app_team_disband             POST       ANY      ANY    /equipe/dissoudre                  
  app_team_regenerate_invite   POST       ANY      ANY    /equipe/nouveau-code               
  app_team_kick                POST       ANY      ANY    /equipe/expulser/{id}              
  app_tournaments              ANY        ANY      ANY    /tournois                          
  app_tournament_details       ANY        ANY      ANY    /tournois/{id}                     
  app_tournoi_index            GET        ANY      ANY    /admin/tournoi                     
  app_tournoi_new              GET|POST   ANY      ANY    /admin/tournoi/new                 
  app_tournoi_show             GET        ANY      ANY    /admin/tournoi/{id}                
  app_tournoi_edit             GET|POST   ANY      ANY    /admin/tournoi/{id}/edit           
  app_tournoi_delete           POST       ANY      ANY    /admin/tournoi/{id}                
 ---------------------------- ---------- -------- ------ ----------------------------------- 

